Accipiter gentilis;Aves;Habicht;Vögel - Greifvögel
Accipiter nisus;Aves;Sperber;Vögel - Greifvögel
Acrocephalus arundinaceus;Aves;Drosselrohrsänger;Vögel - Sperlingsvögel
Acrocephalus dumetorum;Aves;Buschrohrsänger;Vögel - Sperlingsvögel
Acrocephalus paludicola;Aves;Seggenrohrsänger;Vögel - Sperlingsvögel
Acrocephalus palustris;Aves;Sumpfrohrsänger;Vögel - Sperlingsvögel
Acrocephalus schoenobaenus;Aves;Schilfrohrsänger;Vögel - Sperlingsvögel
Acrocephalus scirpaceus;Aves;Teichrohrsänger;Vögel - Sperlingsvögel
Actitis hypoleucos;Aves;Flußuferläufer;Vögel - Regenpfeiferartige
Aegithalos caudatus;Aves;Schwanzmeise;Vögel - Sperlingsvögel
Aegolius funereus;Aves;Rauhfußkauz;Vögel - Eulen
Aix galericulata;Aves;Mandarinente;Vögel - Gänsevögel
Alauda arvensis;Aves;Feldlerche;Vögel - Sperlingsvögel
Alcedo atthis;Aves;Eisvogel;Vögel - Rackenvögel
Alectoris graeca;Aves;Steinhuhn;Vögel - Hühnervögel
Alytes obstetricans;Amphibia;Geburtshelferkröte;Amphibien - Froschlurche
Anas acuta;Aves;Spießente;Vögel - Gänsevögel
Anas clypeata;Aves;Löffelente;Vögel - Gänsevögel
Anas crecca;Aves;Krickente;Vögel - Gänsevögel
Anas penelope;Aves;Pfeifente;Vögel - Gänsevögel
Anas platyrhynchos;Aves;Stockente;Vögel - Gänsevögel
Anas querquedula;Aves;Knäkente;Vögel - Gänsevögel
Anas strepera;Aves;Schnatterente;Vögel - Gänsevögel
Anser albifrons;Aves;Bläßgans;Vögel - Gänsevögel
Anser anser;Aves;Graugans;Vögel - Gänsevögel
Anser brachyrhynchus;Aves;Kurzschnabelgans;Vögel - Gänsevögel
Anser erythropus;Aves;Zwerggans;Vögel - Gänsevögel
Anser fabalis;Aves;Saatgans;Vögel - Gänsevögel
Anthus campestris;Aves;Brachpieper;Vögel - Sperlingsvögel
Anthus godlewskii;Aves;Steppenpieper;Vögel - Sperlingsvögel
Anthus pratensis;Aves;Wiesenpieper;Vögel - Sperlingsvögel
Anthus spinoletta;Aves;Bergpieper;Vögel - Sperlingsvögel
Anthus trivialis;Aves;Baumpieper;Vögel - Sperlingsvögel
Apus apus;Aves;Mauersegler;Vögel - Seglervögel
Aquila chrysaetos;Aves;Steinadler;Vögel - Greifvögel
Aquila clanga;Aves;Schelladler;Vögel - Greifvögel
Aquila heliaca;Aves;Kaiseradler;Vögel - Greifvögel
Aquila nipalensis;Aves;Steppenadler;Vögel - Greifvögel
Aquila pomarina;Aves;Schreiadler;Vögel - Greifvögel
Ardea cinerea;Aves;Graureiher;Vögel - Schreitvögel
Arenaria interpres;Aves;Steinwälzer;Vögel - Regenpfeiferartige
Asio otus;Aves;Waldohreule;Vögel - Eulen
Athene noctua;Aves;Steinkauz;Vögel - Eulen
Aythya ferina;Aves;Tafelente;Vögel - Gänsevögel
Aythya fuligula;Aves;Reiherente;Vögel - Entenvögel
Bombina bombina;Amphibia;Rotbauchunke;Amphibien - Froschlurche
Bombina variegata;Amphibia;Gelbbauchunke;Amphibien - Froschlurche
Bombycilla garrulus;Aves;Seidenschwanz;Vögel - Sperlingsvögel
Botaurus stellaris;Aves;Rohrdommel;Vögel - Schreitvögel
Branta bernicla;Aves;Ringelgans;Vögel - Gänsevögel
Branta canadensis;Aves;Kanadagans;Vögel - Gänsevögel
Branta leucopsis;Aves;Weißwangengans;Vögel - Gänsevögel
Branta ruficollis;Aves;Rothalsgans;Vögel - Gänsevögel
Bubo bubo;Aves;Uhu;Vögel - Eulen
Bubo scandiacus;Aves;Schnee-Eule;Vögel - Eulen
Bubulcus ibis;Aves;Kuhreiher;Vögel - Schreitvögel
Bucephala clangula;Aves;Schellente;Vögel - Gänsevögel
Bufo bufo;Amphibia;Erdkröte;Amphibien - Froschlurche
Bufo calamita;Amphibia;Kreuzkröte;Amphibien - Froschlurche
Bufo viridis;Amphibia;Wechselkröte;Amphibien - Froschlurche
Burhinus oedicnemus;Aves;Triel;Vögel - Regenpfeiferartige
Buteo buteo;Aves;Mäusebussard;Vögel - Greifvögel
Buteo rufinus;Aves;Adlerbussard;Vögel - Greifvögel
Calandrella brachydactyla;Aves;Kurzzehenlerche;Vögel - Sperlingsvögel
Calcarius lapponicus;Aves;Spornammer;Vögel - Sperlingsvögel
Calidris canutus;Aves;Knutt;Vögel - Regenpfeiferartige
Canis lupus;Mammalia;Eurasischer Wolf;Säugetiere - Raubtiere
Capreolus capreolus;Mammalia;Europäisches Reh;Säugetiere - Paarhufer
Caprimulgus europaeus;Aves;Ziegenmelker;Vögel - Schwalmartige
Carduelis cannabina;Aves;Bluthänfling;Vögel - Sperlingsvögel
Carduelis carduelis;Aves;Stieglitz;Vögel - Sperlingsvögel
Carduelis citrinella;Aves;Zitronenzeisig;Vögel - Sperlingsvögel
Carduelis flammea cabaret;Aves;Birkenzeisig;Vögel - Sperlingsvögel
Carduelis flavirostris;Aves;Berghänfling;Vögel - Sperlingsvögel
Carduelis spinus;Aves;Erlenzeisig;Vögel - Sperlingsvögel
Carpodacus erythrinus;Aves;Karmingimpel;Vögel - Sperlingsvögel
Certhia brachydactyla;Aves;Gartenbaumläufer;Vögel - Sperlingsvögel
Certhia familiaris;Aves;Waldbaumläufer;Vögel - Sperlingsvögel
Cervus elaphus;Mammalia;Rothirsch;Säugetiere - Paarhufer
Charadrius dubius;Aves;Flussregenpfeifer;Vögel - Regenpfeiferartige
Charadrius hiaticula;Aves;Sandregenpfeifer;Vögel - Regenpfeiferartige
Charadrius morinellus;Aves;Mornellregenpfeifer;Vögel - Regenpfeiferartige
Chlidonias hybrida;Aves;Weißbart-Seeschwalbe;Vögel - Regenpfeiferartige
Chlidonias leucopterus;Aves;Weißflügel-Seeschwalbe;Vögel - Regenpfeiferartige
Chlidonias niger;Aves;Trauerseeschwalbe;Vögel - Regenpfeiferartige
Chloris chloris;Aves;Grünfink;Vögel - Sperlingsvögel
Chroicocephalus ridibundus;Aves;Lachmöwe;Vögel - Regenpfeiferartige
Ciconia ciconia;Aves;Weißstorch;Vögel - Schreitvögel
Cinclus cinclus;Aves;Wasseramsel;Vögel - Sperlingsvögel
Circaetus gallicus;Aves;Schlangenadler;Vögel - Habichtartige
Circus aeruginosus;Aves;Rohrweihe;Vögel - Greifvögel
Coccothraustes coccothraustes;Aves;Kernbeißer;Vögel - Sperlingsvögel
